USER,FRIENDCOUNT
Kurnia,3955
Tibidabo,2143
Steve,1931
Ekene,1757
Justin,1559
Corey,1446
Kaycee,1427
Hany,1250
Iwuh,1145
Konstance,993
Rasmus,984
Victoria,949
Nwala,916
Deborah,907
Sokari,851
Akong,827
Tyler,821
Tebo,776
Egbo,758
Worlu,748
Navuluri,708
Madume,707
Harcourt,705
Whitehead,693
Caroline,654
Eric,643
Kalpesh,635
Tony,633
Jerry,627
D-rep,595
Michael,591
Scott,579
Nworgu,577
Vasanth,571
Hari,561
Udeme,537
Ejim,536
Ravi,510
Nyebuchi,495
Eunice,486
Uloma,482
Maxwell,474
Ben,467
Mat,457
Dupri,451
Kamesh,450
Arun,434
Wayne,431
Sylvester,397
Obuzor,395
Wobo,393
Chukwuemeka,389
Karthik,383
Samuel,361
Chuks,360
Chima,357
Ashish,356
Raghav,348
Mirian,341
Shannon,339
Orji,325
Jennifer,323
Wali,322
Salvation,320
Leedee,311
Udume,290
Terrence,287
Mc,283
Piya,267
Attiya,266
Babitha,266
Okereke,261
Udochi,256
Wilodi,253
Onuchukwu,238
Nisot,225
Fortune,210
Peace,205
Jose,195
Joy,191
Ogbondah,167
Victor,155
Melody,146
Alex,139
Dennis,135
Shelby,127
Lovelyn,122
Ramesh,108
ORIGINAL_USER,99
Joel,94
Tilman,85
Kingdom,76
Anne,68
Hope,55
Akers,51
Ernst,48
Udeh,40
Osakpolo,20
Sharon,1
